Lat,Long,Program,Institution,Conference,Region,Altitude,Local Metro or Area,Media Market,inTransition,Notes,Location,State
34.35922895,-89.538121,Ole Miss,University of Mississippi,SEC,South,200,Memphis,Memphis,0,,"Oxford, Miss.",Mississippi
41.259,-96.006,Omaha,University of Nebraska Omaha,Summit League,Midwest,323,"Omaha, NE-IA-MO","Omaha, NE-IA-MO",0,,"Omaha, Neb.",Nebraska
36.05056,-95.95245,Oral Roberts,Oral Roberts University,Summit League,Midwest,220,"Tulsa, OK-KS","Tulsa, OK-KS",0,,"Tulsa, Okla.",Oklahoma
44.0520691,-123.0867536,Oregon,University of Oregon,Pac-12,West,130,"Eugene-Springfield, OR-CA","Eugene-Springfield, OR-CA",0,,"Eugene, Ore.",Oregon
44.5645659,-123.2620435,Oregon State,Oregon State University,Pac-12,West,71,"Portland, Ore.","Portland, Ore.",0,,"Corvallis, Ore.",Oregon
37.9577016,-121.2907796,Pacific,University of the Pacific,WCC,West,4,Bay Area (San Francisco/Oakland),Bay Area (San Francisco/Oakland),0,,"Stockton, Calif.",California
39.95,-75.19,Penn,University of Pennsylvania,Ivy League,Mid-Atlantic,12,Philadelphia,Philadelphia,0,,"Philadelphia, Pa.",Pennsylvania
40.793395,-77.8600013,Penn State,Pennsylvania State University,Big Ten,Mid-Atlantic,355,"State College, PA","State College, PA",0,,"State College, Pa.",Pennsylvania
34.0050079,-118.8100893,Pepperdine,Pepperdine University,WCC,West,32,Los Angeles,Los Angeles,0,,"Malibu, Calif.",California
40.4446,-79.9533,Pittsburgh,University of Pittsburgh,ACC,Mid-Atlantic,233,Pittsburgh,Pittsburgh,0,,"Pittsburgh, Pa.",Pennsylvania
45.5725,-122.727222,Portland,University of Portland,WCC,West,12,"Portland, Ore.","Portland, Ore.",0,,"Portland, Ore.",Oregon
45.512778,-122.685278,Portland State,Portland State University,Big Sky,West,12,"Portland, Ore.","Portland, Ore.",0,,"Portland, Ore.",Oregon
30.0932737,-95.9877339,Prairie View A&M,Prairie View A&M University,SWAC,South Central,82,Houston,Houston,0,,"Prairie View, Texas",Texas
34.4726277,-81.8806562,Presbyterian,Presbyterian College,Big South,Southeast,206,"Greenville-Spartanburg-Anderson, SC-NC","Greenville-Spartanburg-Anderson, SC-NC",0,,"Clinton, S.C.",South Carolina
40.3487181,-74.6590472,Princeton,Princeton University,Ivy League,Mid-Atlantic,62,New York City,New York City,0,,"Princeton, N.J.",New Jersey
41.843889,-71.435,Providence,Providence College,Big East,Northeast,2,Boston,Boston,0,,"Providence, R.I.",Rhode Island
40.4258686,-86.9080655,Purdue,Purdue University,Big Ten,Great Lakes,186,Indianapolis,Indianapolis,0,,"West Lafayette, Ind.",Indiana
41.1306041,-85.1288597,Purdue Fort Wayne,Purdue University Fort Wayne,Horizon,Great Lakes,247,"Fort Wayne, IN","Fort Wayne, IN",0,,"Fort Wayne, Ind.",Indiana
35.188626,-80.8351611,Queens (N.C.),Queens University of Charlotte,ASUN,Southeast,232,Charlotte,Charlotte,0,,"Charlotte, N.C.",North Carolina
41.3959304,-72.8967684,Quinnipiac,Quinnipiac University,Metro Atlantic,Northeast,31,New York City,New York City,0,,"Hamden, Conn.",Connecticut
37.1317924,-80.5764477,Radford,Radford University,Big South,Southeast,567,"Roanoke, VA-NC-WV","Roanoke, VA-NC-WV",0,,"Radford, Va.",Virginia
41.4803791,-71.5225598,Rhode Island,University of Rhode Island,Atlantic 10,Northeast,75,Boston,Boston,0,,"Kingston, R.I.",Rhode Island
29.716944,-95.402778,Rice,Rice University,American,South Central,12,Houston,Houston,0,,"Houston, Texas",Texas
37.57516,-77.53871,Richmond,University of Richmond,Atlantic 10,Southeast,64,"Richmond-Petersburg, VA","Richmond-Petersburg, VA",0,,"Richmond, Va.",Virginia
40.2973299,-74.7296049,Rider,Rider University,Metro Atlantic,Mid-Atlantic,37,New York City,New York City,0,,"Lawrenceville, N.J.",New Jersey
40.5089566,-80.2392263,Robert Morris,Robert Morris University,Horizon,Mid-Atlantic,357,Pittsburgh,Pittsburgh,0,,"Moon Township, Pa.",Pennsylvania
40.4992714,-74.3990392,Rutgers,"Rutgers, The State University of New Jersey, New Brunswick",Big Ten,Mid-Atlantic,30,New York City,New York City,0,,"Piscataway, N.J.",New Jersey
38.8114364,-89.953157,SIUE,Southern Illinois University Edwardsville,OVC,Midwest,165,St. Louis,St. Louis,0,,"Edwardsville, Ill.",Illinois
32.83855,-96.78294,SMU,Southern Methodist University,American,South Central,6,Houston,Houston,0,,"University Park, Texas",Texas
38.5815719,-121.4943996,Sacramento State,"California State University, Sacramento",Big Sky,West,9,Sacramento,Sacramento,0,,"Sacramento, Calif.",California
41.2214,-73.2419,Sacred Heart,Sacred Heart University,Northeast,Northeast,10,New York City,New York City,0,,"Fairfield, Conn.",Connecticut
40.5031263,-78.630296,Saint Francis (Pa.),Saint Francis University (Pennsylvania),Northeast,Mid-Atlantic,595,"State College, PA","State College, PA",0,,"Loretto, Pa.",Pennsylvania
39.995278,-75.238889,Saint Joseph's,Saint Joseph's University,Atlantic 10,Mid-Atlantic,12,Philadelphia,Philadelphia,0,,"Philadelphia, Pa.",Pennsylvania
38.6272733,-90.1978889,Saint Louis,Saint Louis University,Atlantic 10,Midwest,142,St. Louis,St. Louis,0,,"St. Louis, Mo.",Missouri
40.7281575,-74.0776417,Saint Peter's,St. Peter's University,Metro Atlantic,Mid-Atlantic,9,New York City,New York City,0,,"Jersey City, N.J.",New Jersey
30.7235263,-95.5507771,Sam Houston State,Sam Houston State University,Conference USA,South Central,113,Houston,Houston,0,,"Huntsville, Texas",Texas
33.4649,-86.7937,Samford,Samford University,SoCon,South,187,Birmingham,Birmingham,0,,"Birmingham, Ala.",Alabama
32.771111,-117.1875,San Diego,University of San Diego,WCC,West,20,San Diego,San Diego,0,,"San Diego, Calif.",California
32.775278,-117.072222,San Diego State,San Diego State University,Mountain West,West,20,San Diego,San Diego,0,,"San Diego, Calif.",California
37.7749295,-122.4194155,San Francisco,University of San Francisco,WCC,West,16,Bay Area (San Francisco/Oakland),Bay Area (San Francisco/Oakland),0,,"San Francisco, Calif.",California
37.3393857,-121.8949555,San Jose State,San Jose State University,Mountain West,West,26,Bay Area (San Francisco/Oakland),Bay Area (San Francisco/Oakland),0,,"San Jose, Calif.",California
37.354108,-121.9552356,Santa Clara,Santa Clara University,WCC,West,23,Bay Area (San Francisco/Oakland),Bay Area (San Francisco/Oakland),0,,"Santa Clara, Calif.",California
47.61,-122.32,Seattle,Seattle University,WAC,West,54,Seattle,Seattle,0,,"Seattle, Wash.",Washington
40.7489898,-74.2612583,Seton Hall,Seton Hall University,Big East,Mid-Atlantic,45,New York City,New York City,0,,"South Orange, N.J.",New Jersey
42.7048009,-73.7548424,Siena,Siena College,Metro Atlantic,Northeast,106,"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY",0,,"Loudonville, N.Y.",New York
30.6943566,-88.0430541,South Alabama,University of South Alabama,Sun Belt,South,3,"Mobile, AL","Mobile, AL",0,,"Mobile, Ala.",Alabama
34.0007104,-81.0348144,South Carolina,"University of South Carolina, Columbia",SEC,Southeast,88,"Columbia, SC","Columbia, SC",0,,"Columbia, S.C.",South Carolina
33.4918203,-80.8556476,South Carolina State,South Carolina State University,MEAC,Southeast,73,"Columbia, SC","Columbia, SC",0,,"Orangeburg, S.C.",South Carolina
42.7794417,-96.9292104,South Dakota,University of South Dakota,Summit League,Midwest,374,"Sioux Falls, SD-IA-MN-NE","Sioux Falls, SD-IA-MN-NE",0,,"Vermillion, S.D.",South Dakota
44.3113573,-96.7983877,South Dakota State,South Dakota State University,Summit League,Midwest,494,"Sioux Falls, SD-IA-MN-NE","Sioux Falls, SD-IA-MN-NE",0,,"Brookings, S.D.",South Dakota
37.3058839,-89.5181476,Southeast Missouri,Southeast Missouri State University,OVC,Midwest,108,St. Louis,St. Louis,0,,"Cape Girardeau, Mo.",Missouri
30.5043583,-90.4611995,Southeastern Louisiana,Southeastern Louisiana University,Southland,South Central,13,New Orleans,New Orleans,0,,"Hammond, La.",Louisiana
30.524674,-91.190034,Southern,"Southern University, Baton Rouge",SWAC,South Central,14,"Baton Rouge, LA-MS","Baton Rouge, LA-MS",0,,"Baton Rouge, La.",Louisiana
34.021667,-118.285278,Southern California,University of Southern California,Pac-12,West,89,Los Angeles,Los Angeles,0,,"Los Angeles, Calif.",California
37.7272727,-89.2167501,Southern Illinois,Southern Illinois University at Carbondale,Missouri Valley,Midwest,126,St. Louis,St. Louis,0,,"Carbondale, Ill.",Illinois
37.9625,-87.6775,Southern Indiana,University of Southern Indiana,OVC,Great Lakes,118,"Evansville-Henderson, IN-KY-IL","Evansville-Henderson, IN-KY-IL",0,,"Evansville, Ind.",Indiana
31.3271189,-89.2903392,Southern Miss,The University of Southern Mississippi,Sun Belt,South,52,"Jackson, MS-AL-LA","Jackson, MS-AL-LA",0,,"Hattiesburg, Miss.",Mississippi
37.6774769,-113.0618931,Southern Utah,Southern Utah University,WAC,Mountain,1782,Las Vegas,Las Vegas,0,,"Cedar City, Utah",Utah
42.0803426,-78.4750213,St. Bonaventure,St. Bonaventure University,Atlantic 10,Northeast,435,"Buffalo-Niagara Falls, NY-PA","Buffalo-Niagara Falls, NY-PA",0,,"St. Bonaventure, N.Y.",New York
40.6501038,-73.9495823,St. Francis Brooklyn,St. Francis College Brooklyn,Northeast,Northeast,15,New York City,New York City,0,,"Brooklyn, N.Y.",New York
40.691492,-73.8056894,St. John's (N.Y.),St. John's University (New York),Big East,Northeast,13,New York City,New York City,0,,"Jamaica, N.Y.",New York
37.8349263,-122.1296871,St. Mary's (Calif.),St. Mary's College of California,WCC,West,152,Bay Area (San Francisco/Oakland),Bay Area (San Francisco/Oakland),0,,"Moraga, Calif.",California
44.9444101,-93.0932742,St. Thomas (Minn.),University of St. Thomas (Minnesota),Summit League,Midwest,242,Minneapolis/St. Paul,Minneapolis/St. Paul,0,,"Saint Paul, Minn.",Minnesota
37.4418834,-122.1430195,Stanford,Stanford University,Pac-12,West,9,Bay Area (San Francisco/Oakland),Bay Area (San Francisco/Oakland),0,,"Palo Alto, Calif.",California
31.6035129,-94.6554874,Stephen F. Austin,Stephen F. Austin State University,WAC,South Central,92,Houston,Houston,0,,"Nacogdoches, Texas",Texas
29.028318,-81.3031179,Stetson,Stetson University,ASUN,South,12,Orlando,Orlando,0,,"DeLand, Fla.",Florida
42.0245442,-71.1286594,Stonehill,Stonehill College,Northeast,Northeast,34,Boston,Boston,0,,"Easton, Mass.",Massachusetts
40.9256538,-73.140943,Stony Brook,Stony Brook University,CAA,Northeast,27,New York City,New York City,0,,"Stony Brook, N.Y.",New York
43.0376,-76.134,Syracuse,Syracuse University,ACC,Northeast,121,Syracuse,Syracuse,0,,"Syracuse, N.Y.",New York
32.725409,-97.3208496,TCU,Texas Christian University,Big 12,South Central,199,Dallas/Fort Worth,Dallas/Fort Worth,0,,"Fort Worth, Texas",Texas
32.2206958,-98.2022633,Tarleton State,Tarleton State University,WAC,South Central,388,Dallas/Fort Worth,Dallas/Fort Worth,0,,"Stephenville, Texas",Texas
39.981389,-75.154444,Temple,Temple University,American,Mid-Atlantic,12,Philadelphia,Philadelphia,0,,"Philadelphia, Pa.",Pennsylvania
35.9606384,-83.9207392,Tennessee,"University of Tennessee, Knoxville",SEC,South,276,"Knoxville, TN","Knoxville, TN",0,,"Knoxville, Tenn.",Tennessee
36.166667,-86.830556,Tennessee State,Tennessee State University,OVC,South,170,Nashville,Nashville,0,,"Nashville, Tenn.",Tennessee
36.162839,-85.5016423,Tennessee Tech,Tennessee Technological University,OVC,South,334,Nashville,Nashville,0,,"Cookeville, Tenn.",Tennessee
30.267153,-97.7430608,Texas,University of Texas at Austin,Big 12,South Central,149,Austin,Austin,0,,"Austin, Texas",Texas
30.627977,-96.3344068,Texas A&M,"Texas A&M University, College Station",SEC,South Central,103,Houston,Houston,0,,"College Station, Texas",Texas
33.2470567,-95.8999656,Texas A&M-Commerce,Texas A&M University-Commerce,Southland,South Central,169,Dallas/Fort Worth,Dallas/Fort Worth,0,,"Commerce, Texas",Texas
27.8005828,-97.396381,Texas A&M-Corpus Christi,Texas A&M University-Corpus Christi,Southland,South Central,2,"Corpus Christi, TX","Corpus Christi, TX",0,,"Corpus Christi, Texas",Texas
29.722222,-95.361111,Texas Southern,Texas Southern University,SWAC,South Central,12,Houston,Houston,0,,"Houston, Texas",Texas
29.8832749,-97.9413941,Texas State,Texas State University-San Marcos,Sun Belt,South Central,188,Austin,Austin,0,,"San Marcos, Texas",Texas
33.5778631,-101.8551665,Texas Tech,Texas Tech University,Big 12,Mountain,976,"Lubbock, TX","Lubbock, TX",0,,"Lubbock, Texas",Texas
41.6639383,-83.555212,Toledo,University of Toledo,Mid-American,Great Lakes,187,"Toledo, OH","Toledo, OH",0,,"Toledo, Ohio",Ohio
39.4014955,-76.6019125,Towson,Towson University,CAA,Mid-Atlantic,141,"Washington, D.C./Baltimore","Washington, D.C./Baltimore",0,,"Towson, Md.",Maryland
31.8087678,-85.969951,Troy,Troy University,Sun Belt,South,165,"Montgomery, AL","Montgomery, AL",0,,"Troy, Ala.",Alabama
29.94,-90.12,Tulane,Tulane University,American,South Central,0,New Orleans,New Orleans,0,,"New Orleans, La.",Louisiana
36.152222,-95.946389,Tulsa,The University of Tulsa,American,Midwest,220,"Tulsa, OK-KS","Tulsa, OK-KS",0,,"Tulsa, Okla.",Oklahoma
33.502,-86.8079,UAB,University of Alabama at Birmingham,American,South,187,Birmingham,Birmingham,0,,"Birmingham, Ala.",Alabama
38.5449065,-121.7405167,UC Davis,"University of California, Davis",Big West,West,16,Sacramento,Sacramento,0,,"Davis, Calif.",California
33.6694649,-117.8231107,UC Irvine,"University of California, Irvine",Big West,West,17,Los Angeles,Los Angeles,0,,"Irvine, Calif.",California
33.978349,-117.329506,UC Riverside,"University of California, Riverside",Big West,West,252,Los Angeles,Los Angeles,0,,"Riverside, Calif.",California
32.8472695,-117.274204,UC San Diego,"University of California, San Diego",Big West,West,32,San Diego,San Diego,0,,"La Jolla, Calif.",California
34.4208305,-119.6981901,UC Santa Barbara,"University of California, Santa Barbara",Big West,West,15,Los Angeles,Los Angeles,0,,"Santa Barbara, Calif.",California
28.5383355,-81.3792365,UCF,University of Central Florida,Big 12,South,30,Orlando,Orlando,0,,"Orlando, Fla.",Florida
34.069444,-118.445278,UCLA,"University of California, Los Angeles",Pac-12,West,89,Los Angeles,Los Angeles,0,,"Los Angeles, Calif.",California
32.8151348,-92.2056923,ULM,University of Louisiana at Monroe,Sun Belt,South Central,39,"Monroe, LA","Monroe, LA",0,,"Monroe, La.",Louisiana
39.2720509,-76.7319161,UMBC,"University of Maryland, Baltimore County",America East,Mid-Atlantic,146,"Washington, D.C./Baltimore","Washington, D.C./Baltimore",0,,"Catonsville, Md.",Maryland
38.2028993,-75.692427,UMES,University of Maryland Eastern Shore,MEAC,Mid-Atlantic,5,"Salisbury, MD-DE-VA","Salisbury, MD-DE-VA",0,,"Princess Anne, Md.",Maryland
42.3803676,-72.523143,UMass,"University of Massachusetts, Amherst",Atlantic 10,Northeast,82,New York City,New York City,0,,"Amherst, Mass.",Massachusetts
42.6334247,-71.3161718,UMass Lowell,University of Massachusetts Lowell,America East,Northeast,35,Boston,Boston,0,,"Lowell, Mass.",Massachusetts
35.6009452,-82.554015,UNC Asheville,University of North Carolina Asheville,Big South,Southeast,649,"Asheville, NC","Asheville, NC",0,,"Asheville, N.C.",North Carolina
34.2257256,-77.9447102,UNC-Wilmington,University of North Carolina Wilmington,CAA,Southeast,11,"Wilmington, NC-SC","Wilmington, NC-SC",0,,"Wilmington, N.C.",North Carolina
36.0695,-79.8114,UNCG,The University of North Carolina at Greensboro,SoCon,Southeast,252,Greensboro,Greensboro,0,,"Greensboro, N.C.",North Carolina
36.1749705,-115.137223,UNLV,"University of Nevada, Las Vegas",Mountain West,West,610,Las Vegas,Las Vegas,0,,"Las Vegas, Nev.",Nevada
34.9975,-81.970556,USC Upstate,University of South Carolina Upstate,Big South,Southeast,246,"Greenville-Spartanburg-Anderson, SC-NC","Greenville-Spartanburg-Anderson, SC-NC",0,,"Spartanburg, S.C.",South Carolina
27.9475216,-82.4584279,USF,University of South Florida,American,South,1,Tampa Bay,Tampa Bay,0,,"Tampa, Fla.",Florida
32.735687,-97.1080656,UT Arlington,University of Texas at Arlington,WAC,South Central,184,Dallas/Fort Worth,Dallas/Fort Worth,0,,"Arlington, Texas",Texas
36.3433965,-88.850338,UT Martin,University of Tennessee at Martin,OVC,South,124,Memphis,Memphis,0,,"Martin, Tenn.",Tennessee
31.7587198,-106.4869314,UTEP,University of Texas at El Paso,Conference USA,Mountain,1133,"El Paso, TX-NM","El Paso, TX-NM",0,,"El Paso, Texas",Texas
26.3017374,-98.1633433,UTRGV,The University of Texas Rio Grande Valley,WAC,South Central,30,"McAllen-Edinburg-Mission, TX","McAllen-Edinburg-Mission, TX",0,,"Edinburg, Texas",Texas
29.583333,-98.620833,UTSA,University of Texas at San Antonio,American,South Central,198,San Antonio,San Antonio,0,,"San Antonio, Texas",Texas
40.7607794,-111.8910474,Utah,University of Utah,Pac-12,Mountain,1300,Salt Lake City,Salt Lake City,0,,"Salt Lake City, Utah",Utah
41.7354862,-111.834388,Utah State,Utah State University,Mountain West,Mountain,1382,Salt Lake City,Salt Lake City,0,,"Logan, Utah",Utah
37.09892887,-113.5677489,Utah Tech,Utah Tech University,WAC,West,823,Las Vegas,Las Vegas,0,,"St. George, Utah",Utah
40.2968979,-111.6946475,Utah Valley,Utah Valley University,WAC,Mountain,1455,Salt Lake City,Salt Lake City,0,,"Orem, Utah",Utah
37.5466,-77.4533,VCU,Virginia Commonwealth University,Atlantic 10,Southeast,64,"Richmond-Petersburg, VA","Richmond-Petersburg, VA",0,,"Richmond, Va.",Virginia
38.1973548,-78.482234,VMI,Virginia Military Institute,SoCon,Southeast,185,"Richmond-Petersburg, VA","Richmond-Petersburg, VA",0,,"Lexington, Va.",Virginia
41.4730948,-87.0611412,Valparaiso,Valparaiso University,Missouri Valley,Great Lakes,242,Chicago,Chicago,0,,"Valparaiso, Ind.",Indiana
36.148649,-86.804972,Vanderbilt,Vanderbilt University,SEC,South,170,Nashville,Nashville,0,,"Nashville, Tenn.",Tennessee
44.4758825,-73.212072,Vermont,University of Vermont,America East,Northeast,61,"Burlington, VT-NY","Burlington, VT-NY",0,,"Burlington, Vt.",Vermont
40.0373323,-75.3490769,Villanova,Villanova University,Big East,Mid-Atlantic,120,Philadelphia,Philadelphia,0,,"Villanova, Pa.",Pennsylvania
38.0293059,-78.4766781,Virginia,University of Virginia,ACC,Southeast,142,"Richmond-Petersburg, VA","Richmond-Petersburg, VA",0,,"Charlottesville, Va.",Virginia
37.8187439,-79.3192012,Virginia Tech,Virginia Polytechnic Institute and State University,ACC,Southeast,438,"Staunton, VA-WV","Staunton, VA-WV",0,,"Blacksburg, Va.",Virginia
40.5834379,-74.1495875,Wagner,Wagner College,Northeast,Northeast,49,New York City,New York City,0,,"Staten Island, N.Y.",New York
36.0998596,-80.244216,Wake Forest,Wake Forest University,ACC,Southeast,278,Greensboro,Greensboro,0,,"Winston-Salem, N.C.",North Carolina
47.654167,-122.308056,Washington,University of Washington,Pac-12,West,54,Seattle,Seattle,0,,"Seattle, Wash.",Washington
46.7312745,-117.1796158,Washington State,Washington State University,Pac-12,West,717,"Spokane, WA-ID","Spokane, WA-ID",0,,"Pullman, Wash.",Washington
41.223,-111.9738304,Weber State,Weber State University,Big Sky,Mountain,1311,Salt Lake City,Salt Lake City,0,,"Ogden, Utah",Utah
39.629526,-79.9558968,West Virginia,West Virginia University,Big 12,Mid-Atlantic,271,Pittsburgh,Pittsburgh,0,,"Morgantown, W. Va.",West Virginia
35.3137111,-83.1765333,Western Carolina,Western Carolina University,SoCon,Southeast,645,"Asheville, NC","Asheville, NC",0,,"Cullowhee, N.C.",North Carolina
40.4592076,-90.6717971,Western Illinois,Western Illinois University,OVC,Midwest,215,"Peoria-Pekin, IL","Peoria-Pekin, IL",0,,"Macomb, Ill.",Illinois
36.9903199,-86.4436018,Western Kentucky,Western Kentucky University,Conference USA,Southeast,161,Nashville,Nashville,0,,"Bowling Green, Ky.",Kentucky
42.2917069,-85.5872286,Western Michigan,Western Michigan University,Mid-American,Great Lakes,240,Grand Rapids,Grand Rapids,0,,"Kalamazoo, Mich.",Michigan
37.6922361,-97.3375448,Wichita State,Wichita State University,American,Midwest,396,"Wichita, KS-OK","Wichita, KS-OK",0,,"Wichita, Kan.",Kansas
37.2707022,-76.7074571,William & Mary,College of William and Mary,CAA,Southeast,25,Norfolk,Norfolk,0,,"Williamsburg, Va.",Virginia
34.9248667,-81.0250784,Winthrop,Winthrop University,Big South,Southeast,207,Charlotte,Charlotte,0,,"Rock Hill, S.C.",South Carolina
